city,country,population,EU,coastline,latitude,longitude,temperature
Bilbao,Spain,46.06,yes,yes,43.25,-2.93,11.41
Birmingham,United Kingdom,65.11,yes,yes,52.47,-1.92,8.81
Blackpool,United Kingdom,65.11,yes,yes,53.83,-3.05,9.15
Bodo,Norway,5.27,no,yes,67.25,14.4,4.5
Bologna,Italy,59.8,yes,yes,44.5,11.34,11.69
Bonn,Germany,80.68,yes,yes,50.72,7.08,8.63
Bordeaux,France,64.67,yes,yes,44.85,-0.6,11.87
Botosani,Romania,19.37,yes,yes,47.75,26.66,8.23
Bournemouth,United Kingdom,65.11,yes,yes,50.73,-1.9,9.97
Bradford,United Kingdom,65.11,yes,yes,53.8,-1.75,8.39
Braga,Portugal,10.3,yes,yes,41.55,-8.42,13.42
Braila,Romania,19.37,yes,yes,45.29,27.97,9.78
Bratislava,Slovakia,5.43,yes,no,48.15,17.12,9.65
Bremen,Germany,80.68,yes,yes,53.08,8.8,8.14
Brest,Belarus,9.48,no,no,52.1,23.7,6.73
Brest,France,64.67,yes,yes,48.39,-4.5,11.02
Brno,Czech Republic,10.55,yes,no,49.2,16.61,7.86
Brugge,Belgium,11.37,yes,yes,51.22,3.23,9.65
Bucharest,Romania,19.37,yes,yes,44.43,26.1,10.59
Budapest,Hungary,9.82,yes,no,47.5,19.08,9.55
Burgas,Bulgaria,7.1,yes,yes,42.51,27.47,11.93
Burgos,Spain,46.06,yes,yes,42.35,-3.68,10.45
Bursa,Turkey,79.62,no,yes,40.2,29.07,11.16
Bydgoszcz,Poland,38.59,yes,yes,53.12,18.01,7.14
Bytom,Poland,38.59,yes,yes,50.35,18.91,7.66
Caen,France,64.67,yes,yes,49.18,-0.35,9.96
Cambridge,United Kingdom,65.11,yes,yes,52.2,0.12,9.25
Cartagena,Spain,46.06,yes,yes,37.6,-0.98,17.32
Catania,Italy,59.8,yes,yes,37.5,15.08,15.04
Chemnitz,Germany,80.68,yes,yes,50.83,12.92,8.05
Cherkasy,Ukraine,44.62,no,yes,49.43,32.07,7.19
Chernihiv,Ukraine,44.62,no,yes,51.5,31.3,5.92
Chernivtsi,Ukraine,44.62,no,yes,48.31,25.92,7.06
Chisinau,Moldova,4.06,no,no,47.01,28.86,8.6
Constanta,Romania,19.37,yes,yes,44.2,28.61,11.24
Cork,Ireland,4.71,yes,yes,51.9,-8.5,9.41
Cosenza,Italy,59.8,yes,yes,39.27,16.29,16.6
Craiova,Romania,19.37,yes,yes,44.33,23.83,10.51
Daugavpils,Latvia,1.96,yes,yes,55.88,26.51,5.38
Debrecen,Hungary,9.82,yes,no,47.53,21.63,8.87
Denizli,Turkey,79.62,no,yes,37.77,29.08,15.02
Dijon,France,64.67,yes,yes,47.33,5.03,8.69
Dublin,Ireland,4.71,yes,yes,53.33,-6.25,8.49
Dundee,United Kingdom,65.11,yes,yes,56.47,-3,6.4
Edinburgh,United Kingdom,65.11,yes,yes,55.95,-3.22,7.43
Edirne,Turkey,79.62,no,yes,41.67,26.57,10.9
Elbasan,Albania,2.9,no,yes,41.12,20.08,15.18
Elblag,Poland,38.59,yes,yes,54.19,19.4,6.68
Erfurt,Germany,80.68,yes,yes,50.97,11.03,7.4
Erzincan,Turkey,79.62,no,yes,39.75,39.49,8.67
Erzurum,Turkey,79.62,no,yes,39.92,41.29,5.17
Eskisehir,Turkey,79.62,no,yes,39.79,30.53,11.11
Exeter,United Kingdom,65.11,yes,yes,50.7,-3.53,10.14
Foggia,Italy,59.8,yes,yes,41.46,15.56,13.83
Frankfurt,Germany,80.68,yes,yes,50.1,8.68,7.98
Freiburg,Germany,80.68,yes,yes,48,7.87,6.68
Galway,Ireland,4.71,yes,yes,53.27,-9.05,10
Gaziantep,Turkey,79.62,no,yes,37.07,37.38,13.46
